0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
75.000	34.858	18.030	9.796	5.381	2.928	1.574	0.893	0.750	1.263	2.783	5.903	11.743	23.247	50.000	
75.000	47.368	28.732	17.023	9.850	5.555	3.075	1.799	1.527	2.462	5.125	10.235	18.669	31.598	50.000	
75.000	52.362	34.409	21.594	13.027	7.586	4.315	2.588	2.204	3.409	6.774	12.929	22.307	34.938	50.000	
75.000	54.520	37.323	24.266	15.080	9.005	5.239	3.205	2.727	4.078	7.822	14.472	24.154	36.389	50.000	
75.000	55.505	38.807	25.770	16.337	9.943	5.894	3.668	3.119	4.536	8.466	15.337	25.104	37.072	50.000	
75.000	55.987	39.605	26.662	17.166	10.637	6.446	4.112	3.517	4.961	8.975	15.941	25.712	37.488	50.000	
75.000	56.326	40.240	27.484	18.065	11.537	7.313	4.943	4.330	5.787	9.840	16.824	26.503	37.990	50.000	
75.000	56.874	41.325	28.996	19.865	13.507	9.369	7.038	6.447	7.924	11.972	18.837	28.156	38.962	50.000	
75.000	58.113	43.717	32.300	23.815	17.873	13.984	11.794	11.281	12.773	16.688	23.107	31.505	40.847	50.000	
75.000	60.639	48.415	38.645	31.304	26.107	22.678	20.758	20.375	21.807	25.312	30.745	37.382	44.114	50.000	
75.000	65.016	56.237	48.934	43.270	39.167	36.423	34.902	34.660	35.878	38.611	42.470	46.482	49.292	50.000	
75.000	71.769	67.546	63.277	59.652	56.899	55.018	53.984	53.853	54.697	56.404	58.404	59.425	57.355	50.000	
75.000	82.014	82.288	80.854	79.243	77.913	76.976	76.463	76.407	76.811	77.526	78.043	77.043	71.100	50.000	
75.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	50.000	

