0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
75.000	32.283	14.499	6.509	2.861	1.222	0.507	0.204	0.080	0.079	0.573	2.787	8.734	21.522	50.000	
75.000	42.991	22.603	11.184	5.264	2.374	1.030	0.433	0.176	0.180	1.101	4.785	13.517	28.662	50.000	
75.000	46.794	26.490	13.913	6.882	3.238	1.461	0.636	0.268	0.265	1.445	5.888	15.730	31.198	50.000	
75.000	48.207	28.241	15.342	7.835	3.801	1.766	0.790	0.342	0.326	1.634	6.421	16.683	32.142	50.000	
75.000	48.746	29.003	16.039	8.349	4.132	1.959	0.895	0.396	0.366	1.728	6.660	17.078	32.502	50.000	
75.000	48.953	29.326	16.364	8.610	4.312	2.072	0.960	0.431	0.390	1.772	6.761	17.237	32.641	50.000	
75.000	49.033	29.460	16.509	8.735	4.405	2.133	0.998	0.453	0.404	1.792	6.803	17.300	32.694	50.000	
75.000	49.063	29.514	16.572	8.793	4.451	2.165	1.018	0.465	0.412	1.801	6.820	17.324	32.715	50.000	
75.000	49.173	29.756	16.910	9.183	4.864	2.585	1.438	0.882	0.828	2.217	7.238	17.745	33.135	50.000	
75.000	50.105	31.563	19.308	11.914	7.759	5.555	4.439	3.895	3.845	5.236	10.258	20.766	35.246	50.000	
75.000	53.766	38.059	27.577	21.160	17.499	15.527	14.515	14.016	13.984	15.383	20.408	29.667	40.691	50.000	
75.000	62.330	52.230	45.039	40.429	37.705	36.197	35.404	35.005	35.016	36.434	40.418	46.280	50.807	50.000	
75.000	76.927	73.987	70.867	68.597	67.168	66.342	65.894	65.662	65.752	66.652	68.564	70.276	67.771	50.000	
75.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	50.000	

