0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
75.000	35.301	18.728	10.559	6.075	3.493	2.021	1.291	1.199	1.839	3.478	6.611	12.310	23.551	50.000	
75.000	48.161	29.992	18.417	11.135	6.618	3.933	2.576	2.397	3.548	6.405	11.519	19.690	32.143	50.000	
75.000	53.416	36.099	23.480	14.786	9.062	5.527	3.696	3.432	4.914	8.517	14.659	23.675	35.669	50.000	
75.000	55.764	39.332	26.529	17.211	10.819	6.750	4.597	4.256	5.920	9.925	16.546	25.793	37.268	50.000	
75.000	56.891	41.066	28.343	18.797	12.075	7.706	5.354	4.954	6.705	10.910	17.735	27.002	38.097	50.000	
75.000	57.511	42.122	29.582	20.025	13.191	8.689	6.238	5.805	7.598	11.891	18.773	27.949	38.698	50.000	
75.000	58.042	43.125	30.912	21.535	14.770	10.277	7.818	7.390	9.207	13.510	20.309	29.215	39.444	50.000	
75.000	58.863	44.724	33.136	24.201	17.718	13.390	11.025	10.649	12.467	16.659	23.137	31.417	40.679	50.000	
75.000	60.395	47.653	37.186	29.069	23.141	19.168	17.014	16.729	18.478	22.345	28.115	35.196	42.753	50.000	
75.000	63.070	52.624	43.931	37.091	32.036	28.629	26.804	26.617	28.169	31.413	35.982	41.148	46.023	50.000	
75.000	67.278	60.158	53.895	48.767	44.878	42.228	40.822	40.710	41.912	44.251	47.200	49.820	50.963	50.000	
75.000	73.481	70.519	67.061	63.879	61.335	59.564	58.625	58.555	59.311	60.639	61.897	61.860	58.563	50.000	
75.000	82.902	83.835	82.833	81.469	80.267	79.401	78.939	78.899	79.229	79.719	79.832	78.280	71.711	50.000	
75.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	50.000	

